trial_n,block_n,tar_choice,P,win,prob_1,prob_2,session,PID
1,1,1,0.25,0,0.25,0.75,1,AA13
2,1,2,0.75,0,0.25,0.75,1,AA13
3,1,1,0.25,0,0.25,0.75,1,AA13
4,1,1,0.25,1,0.75,0.25,1,AA13
5,1,1,0.25,0,0.25,0.75,1,AA13
6,1,2,0.75,1,0.25,0.75,1,AA13
7,1,2,0.75,1,0.25,0.75,1,AA13
8,1,2,0.75,1,0.25,0.75,1,AA13
9,1,2,0.75,0,0.75,0.25,1,AA13
10,1,2,0.75,1,0.75,0.25,1,AA13
11,1,2,0.75,0,0.25,0.75,1,AA13
12,1,2,0.75,1,0.75,0.25,1,AA13
13,1,2,0.75,1,0.25,0.75,1,AA13
14,1,2,0.75,1,0.25,0.75,1,AA13
15,1,2,0.75,1,0.25,0.75,1,AA13
16,1,2,0.75,1,0.25,0.75,1,AA13
17,1,2,0.75,0,0.25,0.75,1,AA13
18,1,2,0.75,1,0.25,0.75,1,AA13
19,1,2,0.75,1,0.75,0.25,1,AA13
20,1,2,0.75,1,0.25,0.75,1,AA13
1,2,1,0.25,0,0.25,0.75,1,AA13
2,2,2,0.75,1,0.25,0.75,1,AA13
3,2,2,0.75,1,0.75,0.25,1,AA13
4,2,2,0.75,1,0.75,0.25,1,AA13
5,2,1,0.25,0,0.25,0.75,1,AA13
6,2,2,0.75,1,0.75,0.25,1,AA13
7,2,2,0.75,1,0.75,0.25,1,AA13
8,2,2,0.75,0,0.25,0.75,1,AA13
9,2,2,0.75,1,0.25,0.75,1,AA13
10,2,2,0.75,1,0.25,0.75,1,AA13
11,2,2,0.75,0,0.75,0.25,1,AA13
12,2,2,0.75,1,0.25,0.75,1,AA13
13,2,2,0.75,1,0.25,0.75,1,AA13
14,2,2,0.75,1,0.25,0.75,1,AA13
15,2,2,0.75,1,0.75,0.25,1,AA13
16,2,2,0.75,1,0.25,0.75,1,AA13
17,2,2,0.75,1,0.25,0.75,1,AA13
18,2,2,0.75,1,0.25,0.75,1,AA13
19,2,2,0.75,0,0.75,0.25,1,AA13
20,2,2,0.75,1,0.25,0.75,1,AA13
1,3,1,0.25,0,0.25,0.75,1,AA13
2,3,2,0.75,0,0.75,0.25,1,AA13
3,3,2,0.75,1,0.75,0.25,1,AA13
4,3,2,0.75,1,0.75,0.25,1,AA13
5,3,2,0.75,1,0.25,0.75,1,AA13
6,3,2,0.75,1,0.25,0.75,1,AA13
7,3,2,0.75,1,0.75,0.25,1,AA13
8,3,2,0.75,1,0.25,0.75,1,AA13
9,3,2,0.75,0,0.25,0.75,1,AA13
10,3,2,0.75,0,0.75,0.25,1,AA13
11,3,2,0.75,1,0.75,0.25,1,AA13
12,3,2,0.75,0,0.75,0.25,1,AA13
13,3,2,0.75,0,0.25,0.75,1,AA13
14,3,1,0.25,0,0.25,0.75,1,AA13
15,3,1,0.25,1,0.25,0.75,1,AA13
16,3,2,0.75,1,0.75,0.25,1,AA13
17,3,2,0.75,1,0.75,0.25,1,AA13
18,3,1,0.25,0,0.25,0.75,1,AA13
19,3,2,0.75,0,0.25,0.75,1,AA13
20,3,2,0.75,1,0.25,0.75,1,AA13
1,4,2,0.75,1,0.75,0.25,1,AA13
2,4,2,0.75,1,0.75,0.25,1,AA13
3,4,1,0.25,0,0.25,0.75,1,AA13
4,4,2,0.75,1,0.75,0.25,1,AA13
5,4,2,0.75,1,0.25,0.75,1,AA13
6,4,2,0.75,1,0.75,0.25,1,AA13
7,4,2,0.75,1,0.25,0.75,1,AA13
8,4,2,0.75,0,0.75,0.25,1,AA13
9,4,1,0.25,0,0.75,0.25,1,AA13
10,4,2,0.75,1,0.75,0.25,1,AA13
11,4,2,0.75,1,0.75,0.25,1,AA13
12,4,2,0.75,1,0.75,0.25,1,AA13
13,4,2,0.75,1,0.25,0.75,1,AA13
14,4,2,0.75,1,0.25,0.75,1,AA13
15,4,2,0.75,1,0.75,0.25,1,AA13
16,4,2,0.75,1,0.75,0.25,1,AA13
17,4,2,0.75,1,0.25,0.75,1,AA13
18,4,2,0.75,1,0.75,0.25,1,AA13
19,4,2,0.75,0,0.75,0.25,1,AA13
20,4,2,0.75,1,0.25,0.75,1,AA13
1,5,2,0.25,1,0.25,0.75,1,AA13
2,5,2,0.25,0,0.75,0.25,1,AA13
3,5,2,0.25,0,0.75,0.25,1,AA13
4,5,2,0.25,0,0.25,0.75,1,AA13
5,5,1,0.75,1,0.25,0.75,1,AA13
6,5,1,0.75,1,0.25,0.75,1,AA13
7,5,1,0.75,0,0.25,0.75,1,AA13
8,5,1,0.75,0,0.75,0.25,1,AA13
9,5,1,0.75,0,0.75,0.25,1,AA13
10,5,1,0.75,1,0.25,0.75,1,AA13
11,5,1,0.75,1,0.75,0.25,1,AA13
12,5,1,0.75,1,0.25,0.75,1,AA13
13,5,1,0.75,0,0.25,0.75,1,AA13
14,5,1,0.75,0,0.25,0.75,1,AA13
15,5,1,0.75,1,0.25,0.75,1,AA13
16,5,1,0.75,0,0.75,0.25,1,AA13
17,5,1,0.75,1,0.25,0.75,1,AA13
18,5,1,0.75,1,0.25,0.75,1,AA13
19,5,1,0.75,1,0.25,0.75,1,AA13
20,5,1,0.75,1,0.75,0.25,1,AA13
1,6,2,0.25,1,0.25,0.75,1,AA13
2,6,2,0.25,0,0.25,0.75,1,AA13
3,6,1,0.75,1,0.25,0.75,1,AA13
4,6,1,0.75,1,0.75,0.25,1,AA13
5,6,1,0.75,1,0.75,0.25,1,AA13
6,6,1,0.75,1,0.75,0.25,1,AA13
7,6,1,0.75,1,0.75,0.25,1,AA13
8,6,2,0.25,1,0.25,0.75,1,AA13
9,6,1,0.75,0,0.75,0.25,1,AA13
10,6,1,0.75,1,0.25,0.75,1,AA13
11,6,1,0.75,1,0.25,0.75,1,AA13
12,6,1,0.75,1,0.25,0.75,1,AA13
13,6,1,0.75,1,0.75,0.25,1,AA13
14,6,1,0.75,1,0.75,0.25,1,AA13
15,6,1,0.75,1,0.75,0.25,1,AA13
16,6,1,0.75,1,0.25,0.75,1,AA13
17,6,1,0.75,1,0.25,0.75,1,AA13
18,6,1,0.75,1,0.25,0.75,1,AA13
19,6,1,0.75,1,0.75,0.25,1,AA13
20,6,1,0.75,1,0.75,0.25,1,AA13
1,1,1,0.25,0,0.25,0.75,2,AA13
2,1,1,0.25,0,0.75,0.25,2,AA13
3,1,2,0.75,0,0.25,0.75,2,AA13
4,1,2,0.75,1,0.75,0.25,2,AA13
5,1,2,0.75,1,0.25,0.75,2,AA13
6,1,2,0.75,1,0.25,0.75,2,AA13
7,1,2,0.75,1,0.75,0.25,2,AA13
8,1,2,0.75,0,0.25,0.75,2,AA13
9,1,2,0.75,1,0.25,0.75,2,AA13
10,1,2,0.75,0,0.75,0.25,2,AA13
11,1,2,0.75,1,0.75,0.25,2,AA13
12,1,2,0.75,1,0.75,0.25,2,AA13
13,1,2,0.75,0,0.25,0.75,2,AA13
14,1,2,0.75,1,0.75,0.25,2,AA13
15,1,2,0.75,1,0.75,0.25,2,AA13
16,1,2,0.75,1,0.25,0.75,2,AA13
17,1,2,0.75,0,0.25,0.75,2,AA13
18,1,2,0.75,0,0.25,0.75,2,AA13
19,1,2,0.75,1,0.75,0.25,2,AA13
20,1,2,0.75,1,0.75,0.25,2,AA13
1,2,1,0.25,0,0.25,0.75,2,AA13
2,2,1,0.25,0,0.25,0.75,2,AA13
3,2,1,0.25,1,0.25,0.75,2,AA13
4,2,1,0.25,1,0.75,0.25,2,AA13
5,2,1,0.25,0,0.25,0.75,2,AA13
6,2,1,0.25,1,0.75,0.25,2,AA13
7,2,1,0.25,0,0.75,0.25,2,AA13
8,2,1,0.25,0,0.25,0.75,2,AA13
9,2,1,0.25,0,0.25,0.75,2,AA13
10,2,1,0.25,0,0.75,0.25,2,AA13
11,2,1,0.25,0,0.25,0.75,2,AA13
12,2,1,0.25,0,0.25,0.75,2,AA13
13,2,1,0.25,0,0.25,0.75,2,AA13
14,2,1,0.25,1,0.25,0.75,2,AA13
15,2,2,0.75,1,0.75,0.25,2,AA13
16,2,1,0.25,0,0.75,0.25,2,AA13
17,2,1,0.25,0,0.25,0.75,2,AA13
18,2,1,0.25,0,0.75,0.25,2,AA13
19,2,1,0.25,1,0.75,0.25,2,AA13
20,2,1,0.25,0,0.25,0.75,2,AA13
1,3,2,0.25,1,0.75,0.25,2,AA13
2,3,2,0.25,0,0.75,0.25,2,AA13
3,3,2,0.25,0,0.75,0.25,2,AA13
4,3,2,0.25,0,0.25,0.75,2,AA13
5,3,1,0.75,1,0.25,0.75,2,AA13
6,3,1,0.75,1,0.75,0.25,2,AA13
7,3,1,0.75,1,0.75,0.25,2,AA13
8,3,1,0.75,1,0.25,0.75,2,AA13
9,3,1,0.75,1,0.75,0.25,2,AA13
10,3,1,0.75,1,0.25,0.75,2,AA13
11,3,1,0.75,1,0.75,0.25,2,AA13
12,3,1,0.75,1,0.75,0.25,2,AA13
13,3,1,0.75,0,0.25,0.75,2,AA13
14,3,1,0.75,1,0.75,0.25,2,AA13
15,3,1,0.75,1,0.75,0.25,2,AA13
16,3,1,0.75,1,0.25,0.75,2,AA13
17,3,1,0.75,1,0.25,0.75,2,AA13
18,3,1,0.75,1,0.25,0.75,2,AA13
19,3,1,0.75,1,0.75,0.25,2,AA13
20,3,1,0.75,0,0.25,0.75,2,AA13
1,4,1,0.75,1,0.75,0.25,2,AA13
2,4,1,0.75,1,0.25,0.75,2,AA13
3,4,1,0.75,1,0.25,0.75,2,AA13
4,4,1,0.75,1,0.25,0.75,2,AA13
5,4,1,0.75,1,0.25,0.75,2,AA13
6,4,1,0.75,1,0.25,0.75,2,AA13
7,4,1,0.75,1,0.25,0.75,2,AA13
8,4,1,0.75,1,0.25,0.75,2,AA13
9,4,1,0.75,1,0.25,0.75,2,AA13
10,4,1,0.75,1,0.25,0.75,2,AA13
11,4,2,0.25,1,0.75,0.25,2,AA13
12,4,1,0.75,1,0.75,0.25,2,AA13
13,4,1,0.75,1,0.75,0.25,2,AA13
14,4,1,0.75,1,0.75,0.25,2,AA13
15,4,1,0.75,0,0.75,0.25,2,AA13
16,4,2,0.25,0,0.75,0.25,2,AA13
17,4,1,0.75,0,0.75,0.25,2,AA13
18,4,2,0.25,0,0.25,0.75,2,AA13
19,4,1,0.75,1,0.75,0.25,2,AA13
20,4,1,0.75,1,0.75,0.25,2,AA13
1,5,1,0.75,1,0.75,0.25,2,AA13
2,5,1,0.75,1,0.75,0.25,2,AA13
3,5,1,0.75,1,0.75,0.25,2,AA13
4,5,1,0.75,0,0.75,0.25,2,AA13
5,5,2,0.25,0,0.25,0.75,2,AA13
6,5,1,0.75,1,0.75,0.25,2,AA13
7,5,1,0.75,1,0.75,0.25,2,AA13
8,5,1,0.75,0,0.75,0.25,2,AA13
9,5,1,0.75,1,0.75,0.25,2,AA13
10,5,1,0.75,1,0.75,0.25,2,AA13
11,5,2,0.25,0,0.25,0.75,2,AA13
12,5,1,0.75,1,0.75,0.25,2,AA13
13,5,1,0.75,1,0.25,0.75,2,AA13
14,5,1,0.75,1,0.25,0.75,2,AA13
15,5,1,0.75,0,0.25,0.75,2,AA13
16,5,1,0.75,1,0.75,0.25,2,AA13
17,5,1,0.75,0,0.75,0.25,2,AA13
18,5,1,0.75,0,0.75,0.25,2,AA13
19,5,2,0.25,0,0.25,0.75,2,AA13
20,5,1,0.75,1,0.75,0.25,2,AA13
1,6,1,0.25,0,0.25,0.75,2,AA13
2,6,2,0.75,1,0.75,0.25,2,AA13
3,6,2,0.75,1,0.25,0.75,2,AA13
4,6,2,0.75,0,0.75,0.25,2,AA13
5,6,2,0.75,1,0.75,0.25,2,AA13
6,6,2,0.75,1,0.75,0.25,2,AA13
7,6,2,0.75,1,0.75,0.25,2,AA13
8,6,2,0.75,0,0.75,0.25,2,AA13
9,6,2,0.75,1,0.25,0.75,2,AA13
10,6,2,0.75,1,0.75,0.25,2,AA13
11,6,2,0.75,1,0.75,0.25,2,AA13
12,6,2,0.75,1,0.75,0.25,2,AA13
13,6,2,0.75,1,0.75,0.25,2,AA13
14,6,2,0.75,1,0.25,0.75,2,AA13
15,6,2,0.75,1,0.75,0.25,2,AA13
16,6,2,0.75,1,0.25,0.75,2,AA13
17,6,2,0.75,0,0.75,0.25,2,AA13
18,6,2,0.75,0,0.75,0.25,2,AA13
19,6,2,0.75,1,0.75,0.25,2,AA13
20,6,2,0.75,0,0.75,0.25,2,AA13
1,1,2,0.25,0,0.25,0.75,3,AA13
2,1,2,0.25,1,0.75,0.25,3,AA13
3,1,1,0.75,1,0.75,0.25,3,AA13
4,1,1,0.75,1,0.75,0.25,3,AA13
5,1,1,0.75,1,0.25,0.75,3,AA13
6,1,1,0.75,1,0.75,0.25,3,AA13
7,1,1,0.75,0,0.25,0.75,3,AA13
8,1,1,0.75,1,0.75,0.25,3,AA13
9,1,1,0.75,1,0.75,0.25,3,AA13
10,1,1,0.75,1,0.75,0.25,3,AA13
11,1,1,0.75,1,0.75,0.25,3,AA13
12,1,1,0.75,1,0.25,0.75,3,AA13
13,1,1,0.75,0,0.25,0.75,3,AA13
14,1,1,0.75,1,0.25,0.75,3,AA13
15,1,1,0.75,1,0.25,0.75,3,AA13
16,1,1,0.75,1,0.25,0.75,3,AA13
17,1,1,0.75,1,0.75,0.25,3,AA13
18,1,2,0.25,0,0.25,0.75,3,AA13
19,1,1,0.75,1,0.25,0.75,3,AA13
20,1,1,0.75,1,0.25,0.75,3,AA13
1,2,2,0.75,1,0.75,0.25,3,AA13
2,2,2,0.75,0,0.75,0.25,3,AA13
3,2,2,0.75,1,0.75,0.25,3,AA13
4,2,2,0.75,0,0.75,0.25,3,AA13
5,2,2,0.75,1,0.75,0.25,3,AA13
6,2,2,0.75,1,0.75,0.25,3,AA13
7,2,2,0.75,1,0.75,0.25,3,AA13
8,2,2,0.75,1,0.25,0.75,3,AA13
9,2,2,0.75,0,0.75,0.25,3,AA13
10,2,2,0.75,1,0.25,0.75,3,AA13
11,2,2,0.75,1,0.75,0.25,3,AA13
12,2,2,0.75,1,0.25,0.75,3,AA13
13,2,2,0.75,1,0.75,0.25,3,AA13
14,2,2,0.75,1,0.25,0.75,3,AA13
15,2,2,0.75,0,0.25,0.75,3,AA13
16,2,2,0.75,1,0.25,0.75,3,AA13
17,2,2,0.75,0,0.25,0.75,3,AA13
18,2,2,0.75,1,0.25,0.75,3,AA13
19,2,2,0.75,0,0.75,0.25,3,AA13
20,2,1,0.25,0,0.75,0.25,3,AA13
1,3,2,0.25,1,0.25,0.75,3,AA13
2,3,1,0.75,1,0.75,0.25,3,AA13
3,3,1,0.75,1,0.75,0.25,3,AA13
4,3,1,0.75,1,0.25,0.75,3,AA13
5,3,1,0.75,1,0.25,0.75,3,AA13
6,3,1,0.75,1,0.25,0.75,3,AA13
7,3,2,0.25,1,0.75,0.25,3,AA13
8,3,1,0.75,1,0.75,0.25,3,AA13
9,3,2,0.25,0,0.25,0.75,3,AA13
10,3,1,0.75,1,0.25,0.75,3,AA13
11,3,1,0.75,1,0.75,0.25,3,AA13
12,3,1,0.75,1,0.75,0.25,3,AA13
13,3,1,0.75,1,0.75,0.25,3,AA13
14,3,1,0.75,1,0.25,0.75,3,AA13
15,3,1,0.75,1,0.25,0.75,3,AA13
16,3,1,0.75,1,0.75,0.25,3,AA13
17,3,1,0.75,1,0.75,0.25,3,AA13
18,3,1,0.75,0,0.25,0.75,3,AA13
19,3,1,0.75,1,0.75,0.25,3,AA13
20,3,1,0.75,1,0.25,0.75,3,AA13
1,4,2,0.75,1,0.75,0.25,3,AA13
2,4,2,0.75,1,0.75,0.25,3,AA13
3,4,1,0.25,1,0.25,0.75,3,AA13
4,4,2,0.75,1,0.75,0.25,3,AA13
5,4,2,0.75,1,0.75,0.25,3,AA13
6,4,2,0.75,0,0.25,0.75,3,AA13
7,4,2,0.75,1,0.75,0.25,3,AA13
8,4,2,0.75,1,0.75,0.25,3,AA13
9,4,2,0.75,1,0.25,0.75,3,AA13
10,4,2,0.75,1,0.25,0.75,3,AA13
11,4,2,0.75,1,0.25,0.75,3,AA13
12,4,1,0.25,0,0.25,0.75,3,AA13
13,4,2,0.75,1,0.25,0.75,3,AA13
14,4,2,0.75,1,0.75,0.25,3,AA13
15,4,2,0.75,1,0.75,0.25,3,AA13
16,4,2,0.75,0,0.25,0.75,3,AA13
17,4,2,0.75,1,0.75,0.25,3,AA13
18,4,2,0.75,0,0.75,0.25,3,AA13
19,4,2,0.75,1,0.25,0.75,3,AA13
20,4,2,0.75,0,0.25,0.75,3,AA13
1,5,2,0.25,0,0.25,0.75,3,AA13
2,5,1,0.75,0,0.75,0.25,3,AA13
3,5,2,0.25,1,0.25,0.75,3,AA13
4,5,2,0.25,0,0.25,0.75,3,AA13
5,5,2,0.25,1,0.25,0.75,3,AA13
6,5,2,0.25,0,0.75,0.25,3,AA13
7,5,2,0.25,1,0.25,0.75,3,AA13
8,5,2,0.25,1,0.75,0.25,3,AA13
9,5,2,0.25,0,0.75,0.25,3,AA13
10,5,2,0.25,1,0.25,0.75,3,AA13
11,5,2,0.25,0,0.25,0.75,3,AA13
12,5,2,0.25,0,0.25,0.75,3,AA13
13,5,2,0.25,0,0.25,0.75,3,AA13
14,5,2,0.25,1,0.25,0.75,3,AA13
15,5,2,0.25,0,0.25,0.75,3,AA13
16,5,2,0.25,0,0.75,0.25,3,AA13
17,5,2,0.25,0,0.25,0.75,3,AA13
18,5,2,0.25,1,0.25,0.75,3,AA13
19,5,2,0.25,0,0.75,0.25,3,AA13
20,5,2,0.25,0,0.25,0.75,3,AA13
1,6,2,0.75,0,0.25,0.75,3,AA13
2,6,1,0.25,1,0.25,0.75,3,AA13
3,6,1,0.25,0,0.75,0.25,3,AA13
4,6,1,0.25,0,0.75,0.25,3,AA13
5,6,1,0.25,0,0.25,0.75,3,AA13
6,6,1,0.25,0,0.25,0.75,3,AA13
7,6,2,0.75,1,0.75,0.25,3,AA13
8,6,2,0.75,1,0.75,0.25,3,AA13
9,6,2,0.75,1,0.75,0.25,3,AA13
10,6,1,0.25,0,0.25,0.75,3,AA13
11,6,2,0.75,0,0.75,0.25,3,AA13
12,6,2,0.75,1,0.25,0.75,3,AA13
13,6,2,0.75,1,0.25,0.75,3,AA13
14,6,2,0.75,0,0.25,0.75,3,AA13
15,6,2,0.75,1,0.75,0.25,3,AA13
16,6,2,0.75,0,0.25,0.75,3,AA13
17,6,2,0.75,0,0.75,0.25,3,AA13
18,6,2,0.75,1,0.75,0.25,3,AA13
19,6,2,0.75,1,0.25,0.75,3,AA13
20,6,2,0.75,1,0.75,0.25,3,AA13
1,1,1,0.75,1,0.75,0.25,4,AA13
2,1,2,0.25,0,0.25,0.75,4,AA13
3,1,1,0.75,0,0.25,0.75,4,AA13
4,1,1,0.75,1,0.25,0.75,4,AA13
5,1,2,0.25,0,0.75,0.25,4,AA13
6,1,1,0.75,1,0.75,0.25,4,AA13
7,1,1,0.75,1,0.25,0.75,4,AA13
8,1,1,0.75,1,0.25,0.75,4,AA13
9,1,1,0.75,1,0.75,0.25,4,AA13
10,1,1,0.75,0,0.75,0.25,4,AA13
11,1,1,0.75,1,0.75,0.25,4,AA13
12,1,1,0.75,1,0.25,0.75,4,AA13
13,1,1,0.75,0,0.25,0.75,4,AA13
14,1,1,0.75,1,0.75,0.25,4,AA13
15,1,1,0.75,1,0.75,0.25,4,AA13
16,1,1,0.75,1,0.25,0.75,4,AA13
17,1,1,0.75,1,0.25,0.75,4,AA13
18,1,1,0.75,1,0.25,0.75,4,AA13
19,1,1,0.75,1,0.75,0.25,4,AA13
20,1,1,0.75,1,0.25,0.75,4,AA13
1,2,2,0.75,1,0.75,0.25,4,AA13
2,2,2,0.75,0,0.25,0.75,4,AA13
3,2,1,0.25,0,0.25,0.75,4,AA13
4,2,1,0.25,0,0.25,0.75,4,AA13
5,2,2,0.75,0,0.75,0.25,4,AA13
6,2,1,0.25,0,0.25,0.75,4,AA13
7,2,1,0.25,0,0.75,0.25,4,AA13
8,2,1,0.25,0,0.25,0.75,4,AA13
9,2,2,0.75,1,0.25,0.75,4,AA13
10,2,2,0.75,1,0.25,0.75,4,AA13
11,2,1,0.25,0,0.75,0.25,4,AA13
12,2,2,0.75,0,0.25,0.75,4,AA13
13,2,2,0.75,1,0.25,0.75,4,AA13
14,2,2,0.75,1,0.75,0.25,4,AA13
15,2,2,0.75,1,0.75,0.25,4,AA13
16,2,2,0.75,1,0.25,0.75,4,AA13
17,2,2,0.75,1,0.25,0.75,4,AA13
18,2,2,0.75,1,0.75,0.25,4,AA13
19,2,2,0.75,1,0.75,0.25,4,AA13
20,2,2,0.75,1,0.25,0.75,4,AA13
1,3,2,0.25,0,0.25,0.75,4,AA13
2,3,2,0.25,0,0.25,0.75,4,AA13
3,3,1,0.75,1,0.25,0.75,4,AA13
4,3,1,0.75,1,0.25,0.75,4,AA13
5,3,1,0.75,1,0.25,0.75,4,AA13
6,3,1,0.75,1,0.25,0.75,4,AA13
7,3,1,0.75,1,0.25,0.75,4,AA13
8,3,1,0.75,0,0.25,0.75,4,AA13
9,3,1,0.75,1,0.75,0.25,4,AA13
10,3,1,0.75,1,0.25,0.75,4,AA13
11,3,1,0.75,0,0.25,0.75,4,AA13
12,3,1,0.75,0,0.25,0.75,4,AA13
13,3,1,0.75,1,0.75,0.25,4,AA13
14,3,1,0.75,1,0.75,0.25,4,AA13
15,3,1,0.75,1,0.25,0.75,4,AA13
16,3,1,0.75,1,0.25,0.75,4,AA13
17,3,1,0.75,1,0.25,0.75,4,AA13
18,3,1,0.75,1,0.75,0.25,4,AA13
19,3,1,0.75,0,0.25,0.75,4,AA13
20,3,1,0.75,1,0.75,0.25,4,AA13
1,4,1,0.75,1,0.75,0.25,4,AA13
2,4,2,0.25,0,0.25,0.75,4,AA13
3,4,1,0.75,1,0.75,0.25,4,AA13
4,4,1,0.75,1,0.25,0.75,4,AA13
5,4,1,0.75,0,0.25,0.75,4,AA13
6,4,1,0.75,1,0.75,0.25,4,AA13
7,4,1,0.75,1,0.25,0.75,4,AA13
8,4,1,0.75,1,0.25,0.75,4,AA13
9,4,1,0.75,1,0.25,0.75,4,AA13
10,4,1,0.75,1,0.25,0.75,4,AA13
11,4,1,0.75,1,0.25,0.75,4,AA13
12,4,1,0.75,0,0.75,0.25,4,AA13
13,4,1,0.75,1,0.75,0.25,4,AA13
14,4,1,0.75,0,0.25,0.75,4,AA13
15,4,1,0.75,0,0.75,0.25,4,AA13
16,4,1,0.75,1,0.25,0.75,4,AA13
17,4,1,0.75,1,0.25,0.75,4,AA13
18,4,1,0.75,1,0.25,0.75,4,AA13
19,4,1,0.75,1,0.75,0.25,4,AA13
20,4,1,0.75,1,0.75,0.25,4,AA13
1,5,1,0.75,1,0.75,0.25,4,AA13
2,5,1,0.75,0,0.75,0.25,4,AA13
3,5,1,0.75,0,0.25,0.75,4,AA13
4,5,2,0.25,1,0.25,0.75,4,AA13
5,5,2,0.25,1,0.75,0.25,4,AA13
6,5,2,0.25,0,0.75,0.25,4,AA13
7,5,2,0.25,0,0.75,0.25,4,AA13
8,5,1,0.75,1,0.25,0.75,4,AA13
9,5,2,0.25,0,0.75,0.25,4,AA13
10,5,2,0.25,0,0.25,0.75,4,AA13
11,5,1,0.75,1,0.75,0.25,4,AA13
12,5,2,0.25,1,0.25,0.75,4,AA13
13,5,1,0.75,1,0.75,0.25,4,AA13
14,5,1,0.75,0,0.75,0.25,4,AA13
15,5,1,0.75,1,0.25,0.75,4,AA13
16,5,2,0.25,0,0.25,0.75,4,AA13
17,5,2,0.25,0,0.25,0.75,4,AA13
18,5,1,0.75,1,0.25,0.75,4,AA13
19,5,1,0.75,1,0.25,0.75,4,AA13
20,5,1,0.75,1,0.75,0.25,4,AA13
1,6,1,0.75,0,0.75,0.25,4,AA13
2,6,1,0.75,1,0.25,0.75,4,AA13
3,6,2,0.25,0,0.25,0.75,4,AA13
4,6,1,0.75,1,0.75,0.25,4,AA13
5,6,2,0.25,1,0.75,0.25,4,AA13
6,6,1,0.75,1,0.75,0.25,4,AA13
7,6,1,0.75,1,0.75,0.25,4,AA13
8,6,1,0.75,1,0.75,0.25,4,AA13
9,6,1,0.75,1,0.75,0.25,4,AA13
10,6,1,0.75,1,0.25,0.75,4,AA13
11,6,1,0.75,1,0.25,0.75,4,AA13
12,6,1,0.75,0,0.75,0.25,4,AA13
13,6,1,0.75,1,0.75,0.25,4,AA13
14,6,1,0.75,1,0.75,0.25,4,AA13
15,6,1,0.75,1,0.75,0.25,4,AA13
16,6,2,0.25,0,0.25,0.75,4,AA13
17,6,1,0.75,1,0.25,0.75,4,AA13
18,6,1,0.75,0,0.75,0.25,4,AA13
19,6,1,0.75,1,0.75,0.25,4,AA13
20,6,2,0.25,1,0.25,0.75,4,AA13
